id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,local_code,home_link,wikipedia_link
4528,LTBA,large_airport,İstanbul Atatürk Airport,40.971913,28.823714,163.0,EU,TR,TR-34,"Bakırköy, Istanbul",yes,LTBA,ISL,,http://www.ataturkairport.com/eng/,https://en.wikipedia.org/wiki/Istanbul_Atat%C3%BCrk_Airport
4529,LTBF,medium_airport,Balıkesir Airport,39.619301,27.926001,340.0,AS,TR,TR-10,Balıkesir,yes,LTBF,BZI,,,https://en.wikipedia.org/wiki/Bal%C4%B1kesir_Airport
4530,LTBG,medium_airport,Bandırma Airport,40.318001,27.977699,170.0,AS,TR,TR-10,Bandırma,no,LTBG,BDM,,,https://en.wikipedia.org/wiki/Band%C4%B1rma_Airport
4531,LTBH,medium_airport,Çanakkale Airport,40.1376991272,26.4267997742,23.0,AS,TR,TR-17,Çanakkale,yes,LTBH,CKZ,,,https://en.wikipedia.org/wiki/%C3%87anakkale_Airport
4532,LTBI,medium_airport,Eskişehir Air Base,39.7840995789,30.5820999146,2581.0,AS,TR,TR-26,,no,LTBI,ESK,,,https://en.wikipedia.org/wiki/Eski%C5%9Fehir_Airport
4533,LTBJ,large_airport,Adnan Menderes International Airport,38.2924,27.157,412.0,AS,TR,TR-35,Gaziemir,yes,LTBJ,ADB,,http://www.adnanmenderesairport.com,https://en.wikipedia.org/wiki/Adnan_Menderes_Airport
4535,LTBL,medium_airport,Çiğli Airport,38.513,27.010099,16.0,AS,TR,TR-35,Çiğli,no,LTBL,IGL,,,https://en.wikipedia.org/wiki/%C3%87i%C4%9Fli_Air_Base
4538,LTBO,medium_airport,Uşak Airport,38.681499,29.471701,2897.0,AS,TR,TR-64,Uşak,no,LTBO,USQ,,https://www.dhmi.gov.tr/Sayfalar/Havalimani/Usak/AnaSayfa.aspx,https://en.wikipedia.org/wiki/U%C5%9Fak_Airport
4541,LTBR,medium_airport,Bursa Yenişehir Airport,40.255199,29.562599,764.0,AS,TR,TR-16,Yenişehir,yes,LTBR,YEI,,,https://en.wikipedia.org/wiki/Yeni%C5%9Fehir_Airport
4542,LTBS,large_airport,Dalaman International Airport,36.7131004333,28.7924995422,20.0,AS,TR,TR-48,Dalaman,yes,LTBS,DLM,,,https://en.wikipedia.org/wiki/Dalaman_Airport
4543,LTBT,medium_airport,Akhisar Airport / Akhisar Air Base,38.808899,27.8339,263.0,AS,TR,TR-45,Akhisar,no,LTBT,,,,
4544,LTBU,medium_airport,Tekirdağ Çorlu Airport,41.13819885253906,27.91909980773925,574.0,EU,TR,TR-59,Çorlu,yes,LTBU,TEQ,,,https://en.wikipedia.org/wiki/Tekirda%C4%9F_%C3%87orlu_Airport
4548,LTCA,medium_airport,Elazığ Airport,38.597974,39.28348,2927.0,AS,TR,TR-23,Elazığ,yes,LTCA,EZS,,,https://en.wikipedia.org/wiki/Elaz%C4%B1%C4%9F_Airport
44789,LTCB,medium_airport,Ordu–Giresun Airport,40.966872,38.085995,11.0,AS,TR,TR-52,Ordu,yes,LTCB,OGU,OGU,http://www.dhmi.gov.tr/havaalanlari.aspx?hv=54,https://en.wikipedia.org/wiki/Ordu%E2%80%93Giresun_Airport
4549,LTCC,medium_airport,Diyarbakır Airport,37.893902,40.201,2251.0,AS,TR,TR-21,Diyarbakır,yes,LTCC,DIY,,,https://en.wikipedia.org/wiki/Diyarbak%C4%B1r_Airport
4550,LTCD,medium_airport,Erzincan Airport,39.7102012634,39.5270004272,3783.0,AS,TR,TR-24,Erzincan,yes,LTCD,ERC,,,https://en.wikipedia.org/wiki/Erzincan_Airport
4551,LTCE,medium_airport,Erzurum International Airport,39.956501,41.1702,5763.0,AS,TR,TR-25,Erzurum,yes,LTCE,ERZ,,,https://en.wikipedia.org/wiki/Erzurum_Airport
4552,LTCF,medium_airport,Kars Airport,40.562198638916016,43.1150016784668,5889.0,AS,TR,TR-36,Kars,yes,LTCF,KSY,,,https://en.wikipedia.org/wiki/Kars_Airport
4553,LTCG,medium_airport,Trabzon International Airport,40.995098,39.7897,104.0,AS,TR,TR-61,Trabzon,yes,LTCG,TZX,,,https://en.wikipedia.org/wiki/Trabzon_Airport
4555,LTCI,medium_airport,Van Ferit Melen Airport,38.46820068359375,43.332298278808594,5480.0,AS,TR,TR-65,Van,yes,LTCI,VAN,,,https://en.wikipedia.org/wiki/Ferit_Melen_Airport
4556,LTCJ,medium_airport,Batman Airport,37.9290008545,41.1166000366,1822.0,AS,TR,TR-72,Batman,yes,LTCJ,BAL,,,https://en.wikipedia.org/wiki/Batman_Airport
4557,LTCK,medium_airport,Muş Airport,38.74779891967773,41.66120147705078,4157.0,AS,TR,TR-49,Muş,yes,LTCK,MSR,,,https://en.wikipedia.org/wiki/Mu%C5%9F_Airport
4558,LTCL,medium_airport,Siirt Airport,37.97890090942383,41.84040069580078,2001.0,AS,TR,TR-56,Siirt,no,LTCL,SXZ,,,https://en.wikipedia.org/wiki/Siirt_Airport
4559,LTCN,medium_airport,Kahramanmaraş Airport,37.5388259888,36.9535217285,1723.0,AS,TR,TR-46,Kahramanmaraş,yes,LTCN,KCM,,,https://en.wikipedia.org/wiki/Kahramanmara%C5%9F_Airport
4560,LTCO,medium_airport,Ağrı Airport,39.655642,43.025742,5462.0,AS,TR,TR-04,Ağrı,yes,LTCO,AJI,,,https://en.wikipedia.org/wiki/A%C4%9Fr%C4%B1_Airport
4561,LTCP,medium_airport,Adıyaman Airport,37.7314,38.468899,2216.0,AS,TR,TR-02,Adıyaman,yes,LTCP,ADF,,,https://en.wikipedia.org/wiki/Ad%C4%B1yaman_Airport
4562,LTCR,medium_airport,Mardin Airport,37.2233009338,40.6316986084,1729.0,AS,TR,TR-47,Mardin,yes,LTCR,MQM,,,https://en.wikipedia.org/wiki/Mardin_Airport
44491,LTCS,medium_airport,Şanlıurfa GAP Airport,37.445663,38.895592,2708.0,AS,TR,TR-63,Şanlıurfa,yes,LTCS,GNY,,http://gap.dhmi.gov.tr/havaalanlari/home.aspx?hv=36,https://en.wikipedia.org/wiki/Şanlıurfa_GAP_Airport
44790,LTCT,medium_airport,Iğdır Airport,39.976627,43.876648,3101.0,AS,TR,TR-76,Iğdır,yes,LTCT,IGD,,http://igdır.dhmi.gov.tr/,https://en.wikipedia.org/wiki/Iğdır_Airport
4567,LTFE,large_airport,Milas Bodrum International Airport,37.250599,27.664301,21.0,AS,TR,TR-48,Bodrum,yes,LTFE,BJV,,,https://en.wikipedia.org/wiki/Milas-Bodrum_Airport
4568,LTFH,medium_airport,Samsun-Çarşamba Airport,41.26556,36.54861,18.0,AS,TR,TR-55,Samsun,yes,LTFH,SZF,,http://www.carsamba.dhmi.gov.tr/havaalanlari/default.aspx?hv=32,https://en.wikipedia.org/wiki/%C3%87ar%C5%9Famba_Airport
4569,LTFJ,large_airport,Istanbul Sabiha Gökçen International Airport,40.898602,29.3092,312.0,AS,TR,TR-34,"Pendik, Istanbul",yes,LTFJ,SAW,,http://www.sgairport.com/,https://en.wikipedia.org/wiki/Istanbul_Sabiha_G%C3%B6k%C3%A7en_International_Airport
4630,LUBM,medium_airport,Mărculești Air Base,47.862701,28.212799,312.0,EU,MD,MD-FR,Mărculeşti,no,LUBM,,,,https://en.wikipedia.org/wiki/Mărculești_Air_Force_Base
4571,LUKK,medium_airport,Chişinău International Airport,46.9277,28.931,399.0,EU,MD,MD-CU,Chişinău,yes,LUKK,RMO,,http://www.airport.md/,https://en.wikipedia.org/wiki/Chi%C5%9Fin%C4%83u_International_Airport
4572,LWOH,medium_airport,Ohrid St. Paul the Apostle Airport,41.18,20.7423,2313.0,EU,MK,MK-003,Ohrid,yes,LWOH,OHD,,http://ohd.airports.com.mk/,https://en.wikipedia.org/wiki/Ohrid_Airport
4574,LXGB,large_airport,Gibraltar Airport,36.151199,-5.34966,12.0,EU,GI,GI-U-A,Gibraltar,yes,LXGB,GIB,,https://www.gibraltarairport.gi/,https://en.wikipedia.org/wiki/Gibraltar_Airport
4610,LYBE,large_airport,Belgrade Nikola Tesla Airport,44.818401,20.309099,335.0,EU,RS,RS-00,Belgrade,yes,LYBE,BEG,,http://www.beg.aero/,https://en.wikipedia.org/wiki/Belgrade_Nikola_Tesla_Airport
4611,LYBT,medium_airport,Batajnica Air Base,44.935299,20.2575,265.0,EU,RS,RS-00,Zemun,no,LYBT,BJY,,,https://en.wikipedia.org/wiki/Batajnica_Air_Base
4612,LYNI,medium_airport,Niš Constantine the Great Airport,43.337009,21.85451,648.0,EU,RS,RS-20,Niš,yes,LYNI,INI,,,https://en.wikipedia.org/wiki/Ni%C5%A1_Constantine_the_Great_Airport
4615,LYTV,medium_airport,Tivat Airport,42.40470123291016,18.72330093383789,20.0,EU,ME,ME-19,Tivat,yes,LYTV,TIV,,http://www.montenegroairports.com/?menu=3,https://en.wikipedia.org/wiki/Tivat_Airport
4617,LZIB,large_airport,M. R. Štefánik Airport,48.1702,17.2127,436.0,EU,SK,SK-BL,Bratislava,yes,LZIB,BTS,,,https://en.wikipedia.org/wiki/M._R._%C5%A0tef%C3%A1nik_Airport
4618,LZKZ,medium_airport,Košice International Airport,48.663101,21.2411,755.0,EU,SK,SK-KI,Košice,yes,LZKZ,KSC,,,https://en.wikipedia.org/wiki/Ko%C5%A1ice_International_Airport
4619,LZMC,medium_airport,Malacky/Kuchyňa Air Base,48.402,17.118401,679.0,EU,SK,SK-BL,Kuchyňa,no,LZMC,,,,https://en.wikipedia.org/wiki/Malacky_Air_Base
4620,LZPP,medium_airport,Piešťany Airport,48.62519836425781,17.828399658203125,545.0,EU,SK,SK-TA,Piešťany,no,LZPP,PZY,,http://www.ba.psg.sk/prezenta/airport-piestany/,https://en.wikipedia.org/wiki/Pie%C5%A1%C5%A5any_Airport
4621,LZSL,medium_airport,Sliač Airport,48.63779830932617,19.13409996032715,1043.0,EU,SK,SK-BC,Sliač,yes,LZSL,SLD,,http://www.airportsliac.sk/home-engle.html,https://en.wikipedia.org/wiki/Slia%C4%8D_Airport
4623,LZTT,medium_airport,Poprad-Tatry Airport,49.073601,20.2411,2356.0,EU,SK,SK-PV,Poprad,yes,LZTT,TAT,,https://www.popradtatry.aero/,https://en.wikipedia.org/wiki/Poprad-Tatry_Airport
4624,LZZI,medium_airport,Žilina-Dolný Hričov Airport,49.233292,18.613386,1020.0,EU,SK,SK-ZI,Dolný Hričov,no,LZZI,ILZ,,,https://en.wikipedia.org/wiki/%C5%BDilina_Airport
4626,MBGT,medium_airport,JAGS McCartney International Airport,21.4445,-71.142303,13.0,NA,TC,TC-GT,Cockburn Town,yes,MBGT,GDT,,,https://en.wikipedia.org/wiki/JAGS_McCartney_International_Airport
4628,MBPV,large_airport,Providenciales International Airport,21.773697,-72.268321,15.0,NA,TC,TC-PR,Providenciales,yes,MBPV,PLS,,,https://en.wikipedia.org/wiki/Providenciales_International_Airport
4632,MDBH,medium_airport,Maria Montez International Airport,18.25149917602539,-71.12039947509766,10.0,NA,DO,DO-04,Barahona,yes,MDBH,BRX,,,https://en.wikipedia.org/wiki/Mar%C3%ADa_Montez_International_Airport
4633,MDCR,medium_airport,Cabo Rojo Airport,17.929000854492188,-71.6447982788086,262.0,NA,DO,DO-16,Cabo Rojo,no,MDCR,CBJ,,,https://en.wikipedia.org/wiki/Cabo_Rojo_Airport
4634,MDJB,medium_airport,La Isabela International Airport,18.57250022888184,-69.98560333251953,98.0,NA,DO,DO-01,La Isabela,yes,MDJB,JBQ,,,https://en.wikipedia.org/wiki/La_Isabela_International_Airport
4635,MDLR,large_airport,Casa De Campo International Airport,18.452222,-68.911111,213.0,NA,DO,DO-12,La Romana,yes,MDLR,LRM,,http://romanaairport.com,https://en.wikipedia.org/wiki/La_Romana_International_Airport
